,st1,st2,distance
455,6,13,7.633861
456,5,13,7.606780999999999
457,4,23,7.575459000000001
458,4,11,7.5713170000000005
459,11,20,7.553454999999999
460,7,15,7.531567999999999
461,1,22,7.451480000000001
462,1,21,7.347692
463,6,11,7.346890999999999
464,8,14,7.322817
465,5,11,7.319810999999999
466,12,18,7.1782140000000005
467,12,17,7.1782140000000005
468,11,21,7.17273
469,8,15,7.111576000000001
470,7,13,7.054887999999999
471,2,20,7.012251999999999
472,2,21,6.9015059999999995
473,8,20,6.872152999999999
474,1,23,6.871520999999999
475,3,23,6.857187
476,9,14,6.835810999999999
477,7,20,6.823978
478,7,11,6.767917999999999
479,7,21,6.713232
480,2,10,6.641555
481,4,12,6.640026
482,8,13,6.634896
483,9,15,6.624569999999999
484,2,6,6.621596
485,11,33,6.605575
486,11,16,6.605575
487,12,19,6.573409000000002
488,8,21,6.500816000000001
489,0,2,6.494488999999998
490,9,20,6.394808
491,2,5,6.376964000000001
492,8,11,6.347925999999999
493,10,12,6.151661999999999
494,9,13,6.147889999999999
495,6,12,6.138073
496,5,12,6.110993
497,18,33,6.106837999999998
498,17,33,6.106837999999998
499,16,18,6.079033000000001
500,16,17,6.079033000000001
501,14,18,6.035664000000001
502,14,17,6.035664000000001
503,9,21,6.023471000000002
504,6,20,5.869969
505,9,11,5.86092
506,0,9,5.819868999999997
507,6,21,5.7592229999999995
508,5,20,5.625337
509,13,18,5.562012000000001
510,13,17,5.562012000000001
511,7,12,5.559099999999999
512,19,33,5.530594999999999
513,2,4,5.521215999999999
514,5,21,5.514591
515,0,8,5.475281000000001
516,16,19,5.474228000000001
517,14,19,5.430859000000001
518,20,23,5.427756999999998
519,8,12,5.139108000000001
520,15,17,5.085332
521,15,18,5.085332
522,0,7,5.005761000000001
523,13,19,4.957207
524,11,15,4.728439000000001
525,1,32,4.720629
526,21,23,4.652543999999998
527,9,12,4.652102
528,4,20,4.630981
529,0,3,4.605021999999999
530,11,13,4.553976
531,4,21,4.5202350000000004
532,15,19,4.480527
533,0,4,4.466867
534,0,6,4.450533999999998
535,1,2,4.408589
536,11,14,4.356351
537,3,20,4.311539000000001
538,2,3,4.307112000000001
539,0,5,4.205901999999999
540,3,21,4.200793000000001
541,10,11,4.1311919999999995
542,3,10,4.0771500000000005
543,6,10,4.071248000000001
544,5,10,4.044168000000001
545,4,10,3.993190000000001
546,10,20,3.79987
547,3,8,3.669824
548,12,16,3.569387
549,12,33,3.569387
550,3,7,3.4986580000000003
551,7,10,3.4922750000000007
552,3,9,3.4513779999999996
553,10,21,3.428533
554,22,23,3.3709009999999995
555,11,12,3.368956
556,8,10,3.072283000000001
557,14,16,3.0007810000000004
558,14,33,3.0007810000000004
559,9,10,2.5949380000000004
560,3,6,2.532638999999999
561,13,33,2.5271290000000004
562,13,16,2.5271290000000004
563,4,8,2.376173
564,12,14,2.304123
565,3,5,2.2880069999999995
566,4,7,2.2050070000000006
567,4,9,2.157727
568,12,15,2.092882
569,15,33,2.050449
570,15,16,2.050449
571,24,25,1.784955
572,6,8,1.7705009999999997
573,5,8,1.7434209999999999
574,6,9,1.6410470000000001
575,12,13,1.616202
576,5,9,1.613967
577,6,7,1.5993349999999997
578,5,7,1.572255
579,13,14,1.427012
580,29,30,1.324686
581,3,4,1.2936509999999999
582,4,6,1.238988
583,4,5,0.994356
584,7,9,0.9894410000000001
585,14,15,0.9503320000000001
586,17,19,0.9263710000000003
587,18,19,0.9263710000000003
588,20,21,0.7752129999999999
589,8,9,0.510793
590,7,8,0.4796079999999999
591,13,15,0.47668
592,5,6,0.24463200000000002
593,17,18,0.0
594,16,33,0.0
